iter	Passed	Remaining
612	4813	588
613	4820	581
614	4829	573
615	4836	565
616	4844	557
617	4852	549
618	4859	541
619	4866	533
620	4875	525
621	4884	518
622	4894	510
623	4903	502
624	4911	495
625	4921	487
626	4929	479
627	4937	471
628	4946	463
629	4955	456
630	4962	448
631	4969	440
632	4977	432
633	4986	424
634	4995	416
635	5001	408
636	5009	401
637	5017	393
638	5025	385
639	5033	377
640	5041	369
641	5048	361
642	5055	353
643	5063	345
644	5071	338
645	5079	330
646	5087	322
647	5095	314
648	5103	306
649	5111	298
650	5118	290
651	5128	283
652	5136	275
653	5144	267
654	5152	259
655	5159	251
656	5166	243
657	5174	235
658	5181	228
659	5189	220
660	5197	212
661	5207	204
662	5215	196
663	5223	188
664	5231	180
665	5238	173
666	5246	165
667	5254	157
668	5263	149
669	5271	141
670	5279	133
671	5287	125
672	5294	118
673	5301	110
674	5309	102
675	5316	94
676	5324	86
677	5333	78
678	5342	70
679	5350	62
680	5358	55
681	5366	47
682	5375	39
683	5382	31
684	5391	23
685	5398	15
686	5406	7
687	5413	0
